Sample Name	Protocol REF	Parameter Value[Cortical Or Cancellous Or Other]	Parameter Value[ROI Location And Size Anatomical Markers Used To Identify Location]	Parameter Value[Type Of Test Axial Or Bending Or Shear Or Torsion]	Parameter Value[Test Attributes Tension Or Compression Or 3Pt Or 4Pt]	Parameter Value[Is This Test Monotonic Or Fatigue]	Parameter Value[Loading Rate Rate Of Applied Load Or Displacement]	Unit	Term Source REF	Term Accession Number	Parameter Value[Data Acquisition Rate]	Parameter Value[Testing System Manufacturer And Model Number]	Parameter Value[Lower Span Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
511705_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
515406_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
515407_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491049_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491050_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491058_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
494310_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509767_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509768_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509776_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511685_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511697_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511699_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511703_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511708_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
494305_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
494306_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
494309_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
494311_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509765_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509766_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509769_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511689_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511696_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511702_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511707_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511709_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
